user_id,recipe_id,predicted_rating,rank
1533,517410,5.0,1
1533,118458,5.0,2
1533,118434,5.0,3
1533,505784,5.0,4
1533,505620,5.0,5
1533,505571,5.0,6
1533,505539,5.0,7
1533,505443,5.0,8
1533,505050,5.0,9
1533,228812,5.0,10
1533,118205,5.0,11
1533,118199,5.0,12
1533,118170,5.0,13
1533,118155,5.0,14
1533,118145,5.0,15
1533,66,5.0,16
1533,118324,5.0,17
1533,64895,5.0,18
1533,64860,5.0,19
1533,64854,5.0,20
1535,1693,5.0,1
1535,301848,5.0,2
1535,962,5.0,3
1535,242,5.0,4
1535,74988,5.0,5
1535,511995,5.0,6
1535,75056,5.0,7
1535,74960,5.0,8
1535,302814,5.0,9
1535,302142,5.0,10
1535,302165,5.0,11
1535,94648,5.0,12
1535,61659,5.0,13
1535,144757,5.0,14
1535,84821,5.0,15
1535,504482,5.0,16
1535,107408,5.0,17
1535,301754,5.0,18
1535,301815,5.0,19
1535,85711,5.0,20
1634,260216,5.0,1
1634,235736,5.0,2
1634,286617,5.0,3
1634,116878,5.0,4
1634,241328,5.0,5
1634,36354,5.0,6
1634,118027,5.0,7
1634,127262,5.0,8
1634,155248,5.0,9
1634,61230,5.0,10
1634,67433,5.0,11
1634,268560,5.0,12
1634,314874,5.0,13
1634,170099,5.0,14
1634,424183,5.0,15
1634,55977,5.0,16
1634,97745,5.0,17
1634,28980,5.0,18
1634,278082,5.0,19
1634,278340,5.0,20
1676,506,5.0,1
1676,505497,5.0,2
1676,505539,5.0,3
1676,246,5.0,4
1676,271,5.0,5
1676,376,5.0,6
1676,414,5.0,7
1676,515858,5.0,8
1676,517410,5.0,9
1676,63269,5.0,10
1676,93375,5.0,11
1676,93408,5.0,12
1676,93426,5.0,13
1676,93436,5.0,14
1676,93481,5.0,15
1676,514024,5.0,16
1676,456,5.0,17
1676,636,5.0,18
1676,638,5.0,19
1676,505927,5.0,20
1792,93,5.0,1
1792,140140,5.0,2
1792,140102,5.0,3
1792,78816,5.0,4
1792,140034,5.0,5
1792,78807,5.0,6
1792,254131,5.0,7
1792,254048,5.0,8
1792,63075,5.0,9
1792,62995,5.0,10
1792,254299,5.0,11
1792,254235,5.0,12
1792,254206,5.0,13
1792,140660,5.0,14
1792,140618,5.0,15
1792,140344,5.0,16
1792,456,5.0,17
1792,271,5.0,18
1792,63138,5.0,19
1792,63131,5.0,20
1891,157866,5.0,1
1891,99909,5.0,2
1891,99882,5.0,3
1891,99866,5.0,4
1891,99843,5.0,5
1891,152284,5.0,6
1891,152259,5.0,7
1891,152238,5.0,8
1891,205934,5.0,9
1891,206184,5.0,10
1891,809,5.0,11
1891,777,5.0,12
1891,773,5.0,13
1891,693,5.0,14
1891,504803,5.0,15
1891,123628,5.0,16
1891,123659,5.0,17
1891,73014,5.0,18
1891,72994,5.0,19
1891,72975,5.0,20
2148,169908,5.0,1
2148,90808,5.0,2
2148,90800,5.0,3
2148,502831,5.0,4
2148,503721,5.0,5
2148,186927,5.0,6
2148,503638,5.0,7
2148,503438,5.0,8
2148,170114,5.0,9
2148,170085,5.0,10
2148,170079,5.0,11
2148,170056,5.0,12
2148,170190,5.0,13
2148,170177,5.0,14
2148,40,5.0,15
2148,514024,5.0,16
2148,511995,5.0,17
2148,178260,5.0,18
2148,169790,5.0,19
2148,169766,5.0,20
2178,240744,5.0,1
2178,95365,5.0,2
2178,95312,5.0,3
2178,61659,5.0,4
2178,215501,5.0,5
2178,215689,5.0,6
2178,393318,5.0,7
2178,118387,5.0,8
2178,52804,5.0,9
2178,395605,5.0,10
2178,396206,5.0,11
2178,397163,5.0,12
2178,393106,5.0,13
2178,349775,5.0,14
2178,79964,5.0,15
2178,197284,5.0,16
2178,255477,5.0,17
2178,120846,5.0,18
2178,89207,5.0,19
2178,89474,5.0,20
2310,99992,5.0,1
2310,510906,5.0,2
2310,511995,5.0,3
2310,170594,5.0,4
2310,170604,5.0,5
2310,170613,5.0,6
2310,505997,5.0,7
2310,103406,5.0,8
2310,103434,5.0,9
2310,103435,5.0,10
2310,103437,5.0,11
2310,103447,5.0,12
2310,103254,5.0,13
2310,144067,5.0,14
2310,103317,5.0,15
2310,198,5.0,16
2310,192,5.0,17
2310,509252,5.0,18
2310,445,5.0,19
2310,506,5.0,20
2312,93,5.0,1
2312,107273,5.0,2
2312,505997,5.0,3
2312,144195,5.0,4
2312,107421,5.0,5
2312,107439,5.0,6
2312,192,5.0,7
2312,517529,5.0,8
2312,511995,5.0,9
2312,503894,5.0,10
2312,503916,5.0,11
2312,504245,5.0,12
2312,504246,5.0,13
2312,1267,5.0,14
2312,160873,5.0,15
2312,79992,5.0,16
2312,361,5.0,17
2312,144269,5.0,18
2312,144349,5.0,19
2312,142,5.0,20
2586,40,5.0,1
2586,49,5.0,2
2586,58,5.0,3
2586,62,5.0,4
