user_id,recipe_id,predicted_rating,rank,n_missing
1535,74988,5.0,1,0.0
2312,504246,5.0,1,0.0
4439,153534,5.0,1,0.0
5060,98706,5.0,1,0.0
6258,280,5.0,1,0.0
7108,517410,5.0,1,0.0
8629,280,5.0,1,0.0
9717,181738,5.0,1,0.0
9869,310,5.0,1,0.0
10113,346,5.0,1,0.0
10404,517410,5.0,1,0.0
10997,510906,5.0,1,0.0
11009,310,5.0,1,0.0
12875,61108,5.0,1,0.0
13483,314899,5.0,1,0.0
15851,358752,5.0,1,0.0
18649,310,5.0,1,0.0
19166,556,5.0,1,0.0
20375,302972,5.0,1,0.0
20480,310,5.0,1,0.0
20754,188329,5.0,1,0.0
21730,285374,5.0,1,0.0
22015,174900,5.0,1,0.0
22015,280,5.0,2,0.0
23119,310,5.0,1,0.0
23333,1423,5.0,1,0.0
23728,310,5.0,1,0.0
24323,61108,5.0,1,0.0
24386,56460,5.0,1,0.0
24386,517416,5.0,2,0.0
26041,185013,5.0,1,0.0
26719,299756,5.0,1,0.0
27564,222188,5.0,1,0.0
28346,36359,5.0,1,0.0
28533,93187,5.0,1,0.0
28811,154224,5.0,1,0.0
29405,88812,5.0,1,0.0
29782,20167,5.0,1,0.0
29782,188990,5.0,2,0.0
29920,63887,5.0,1,0.0
32772,337211,5.0,1,0.0
34357,396377,5.0,1,0.0
36128,107170,5.0,1,0.0
36128,310,5.0,2,0.0
36944,299326,5.0,1,0.0
37036,195430,5.0,1,0.0
37036,505997,5.0,2,0.0
37036,517416,5.0,3,0.0
37072,62702,5.0,1,0.0
37449,40,5.0,1,0.0
37608,144626,5.0,1,0.0
37779,225178,5.0,1,0.0
37779,224461,5.0,2,0.0
37779,223508,5.0,3,0.0
38574,230769,5.0,1,0.0
38901,68491,5.0,1,0.0
39116,87689,5.0,1,0.0
39194,310,5.0,1,0.0
39334,508008,5.0,1,0.0
39762,505997,5.0,1,0.0
40620,72336,5.0,1,0.0
42217,452470,5.0,1,0.0
42337,647,5.0,1,0.0
45654,108172,5.0,1,0.0
46357,86852,5.0,1,0.0
46660,37846,5.0,1,0.0
47559,176443,5.0,1,0.0
47892,153,5.0,1,0.0
48136,271647,5.0,1,0.0
48956,122130,5.0,1,0.0
49168,510968,5.0,1,0.0
51199,153085,5.0,1,0.0
51686,277122,5.0,1,0.0
52074,280,5.0,1,0.0
52074,310,5.0,2,0.0
52381,517416,5.0,1,0.0
52543,124666,5.0,1,0.0
53368,121542,5.0,1,0.0
54301,168150,5.0,1,0.0
54678,48477,5.0,1,0.0
55013,138082,5.0,1,0.0
55166,173837,5.0,1,0.0
55406,157688,5.0,1,0.0
55578,89854,5.0,1,0.0
56463,310,5.0,1,0.0
57042,264006,5.0,1,0.0
57222,280,5.0,1,0.0
