user_id,recipe_id,predicted_rating,rank
1533,27208,4.8373,1
1533,22782,4.8352,2
1533,82032,4.8347,3
1533,78814,4.8347,4
1533,60952,4.8347,5
1533,56518,4.8344,6
1533,102274,4.8342,7
1533,32973,4.8342,8
1533,93674,4.8342,9
1533,192335,4.8342,10
1533,141308,4.8342,11
1533,46019,4.8342,12
1533,63812,4.8342,13
1533,80905,4.8342,14
1533,102191,4.8342,15
1533,59442,4.8342,16
1533,32253,4.8342,17
1533,117656,4.8342,18
1533,39804,4.8342,19
1533,99121,4.8341,20
1535,89204,4.6589,1
1535,61946,4.639,2
1535,18914,4.6314,3
1535,15242,4.623,4
1535,4571,4.6208,5
1535,25885,4.6207,6
1535,106715,4.6189,7
1535,63501,4.6185,8
1535,174796,4.6151,9
1535,43998,4.615,10
1535,248707,4.6146,11
1535,155018,4.6144,12
1535,632,4.6142,13
1535,22782,4.6138,14
1535,87782,4.6134,15
1535,133448,4.6132,16
1535,88794,4.6129,17
1535,9973,4.6127,18
1535,16365,4.6127,19
1535,33727,4.6124,20
1634,27208,4.4179,1
1634,95222,4.4169,2
1634,15865,4.4121,3
1634,15411,4.4119,4
1634,97486,4.4116,5
1634,13745,4.4116,6
1634,14927,4.4115,7
1634,33919,4.4115,8
1634,8972,4.4115,9
1634,137287,4.4114,10
1634,14979,4.4113,11
1634,108522,4.4113,12
1634,73274,4.4113,13
1634,44666,4.4113,14
1634,77397,4.4113,15
1634,113229,4.4113,16
1634,79774,4.4112,17
1634,46294,4.4112,18
1634,17175,4.4112,19
1634,63787,4.4112,20
1676,89204,4.9077,1
1676,16531,4.902,2
1676,95222,4.9008,3
1676,204040,4.9007,4
1676,33561,4.9007,5
1676,27208,4.9006,6
1676,282927,4.9006,7
1676,211499,4.9006,8
1676,41979,4.9006,9
1676,243427,4.9005,10
1676,40767,4.9005,11
1676,208486,4.9005,12
1676,13641,4.9005,13
1676,64049,4.9005,14
1676,81047,4.9004,15
1676,51209,4.9004,16
1676,243279,4.9004,17
1676,139989,4.9004,18
1676,25885,4.9004,19
1676,443166,4.9004,20
1792,16531,4.8064,1
1792,27208,4.8018,2
1792,208486,4.8015,3
1792,32142,4.8015,4
1792,40767,4.8015,5
1792,64049,4.8014,6
1792,13641,4.8014,7
1792,153756,4.8014,8
1792,96988,4.8014,9
1792,76930,4.8013,10
1792,108522,4.8013,11
1792,28667,4.8012,12
1792,162873,4.8012,13
1792,45270,4.8012,14
1792,8579,4.8012,15
1792,28648,4.8012,16
1792,40857,4.8012,17
1792,36970,4.8011,18
1792,146022,4.8011,19
1792,53508,4.8011,20
1891,95222,4.8853,1
1891,200296,4.8604,2
1891,59636,4.8603,3
1891,54257,4.8596,4
1891,108522,4.8593,5
1891,48532,4.8593,6
1891,33671,4.8592,7
1891,73033,4.8591,8
1891,32503,4.859,9
1891,46877,4.8584,10
1891,148547,4.8582,11
1891,13269,4.8581,12
1891,9836,4.8576,13
1891,73062,4.8575,14
1891,104086,4.8575,15
1891,3470,4.8575,16
1891,53198,4.8574,17
1891,39900,4.8572,18
1891,37413,4.8571,19
1891,108364,4.8571,20
2148,95222,4.876,1
2148,204040,4.8752,2
2148,33561,4.8752,3
2148,211499,4.8752,4
2148,282927,4.8752,5
2148,243427,4.8752,6
2148,54257,4.8752,7
2148,41979,4.8752,8
2148,443166,4.8751,9
2148,81047,4.8751,10
2148,243415,4.8751,11
2148,282917,4.8751,12
2148,130785,4.8751,13
2148,283058,4.8751,14
2148,413686,4.8751,15
2148,283032,4.8751,16
2148,378869,4.8751,17
2148,243372,4.8751,18
2148,360407,4.8751,19
2148,231853,4.8751,20
2178,22782,4.5809,1
2178,28148,4.5803,2
2178,78814,4.5801,3
2178,39087,4.58,4
2178,63689,4.5799,5
2178,69173,4.5798,6
2178,87782,4.5798,7
2178,27208,4.5797,8
2178,155018,4.5797,9
2178,52035,4.5797,10
2178,82032,4.5797,11
2178,4627,4.5797,12
2178,261889,4.5796,13
2178,61946,4.5796,14
2178,74730,4.5796,15
2178,155186,4.5796,16
2178,177558,4.5796,17
2178,102274,4.5796,18
2178,18914,4.5796,19
2178,27733,4.5796,20
2310,22782,4.8102,1
2310,78814,4.8056,2
2310,26370,4.8017,3
2310,18914,4.8016,4
2310,63501,4.8016,5
2310,15242,4.8014,6
2310,84104,4.8014,7
2310,190896,4.8014,8
2310,4571,4.8011,9
2310,106715,4.801,10
2310,61946,4.8009,11
2310,174796,4.8006,12
2310,167707,4.8006,13
2310,632,4.8006,14
2310,9973,4.8005,15
2310,62994,4.8004,16
2310,56746,4.8003,17
2310,16365,4.8003,18
2310,147494,4.8003,19
2310,33727,4.8003,20
2312,204040,4.7538,1
2312,33561,4.7538,2
2312,211499,4.7528,3
2312,282927,4.7526,4
2312,243427,4.7523,5
2312,41979,4.7523,6
2312,139989,4.7506,7
2312,81047,4.7505,8
2312,443166,4.7505,9
2312,130785,4.7503,10
2312,44833,4.7503,11
2312,243279,4.7503,12
2312,283058,4.7502,13
2312,413686,4.7502,14
2312,283032,4.7502,15
2312,360407,4.7502,16
2312,282917,4.7502,17
2312,378869,4.7502,18
2312,243372,4.7502,19
2312,231853,4.7501,20
2586,40,5.0,1
2586,49,5.0,2
2586,58,5.0,3
2586,62,5.0,4
2586,66,5.0,5
2586,93,5.0,6
2586,112,5.0,7
2586,142,5.0,8
2586,143,5.0,9
2586,150,5.0,10
2586,153,5.0,11
2586,167,5.0,12
2586,172,5.0,13
